Asteroids	platforms	Arcade, [[#Ports
Sid Meier's Alpha Centauri	platforms	Microsoft Windows
Sid Meier's Alpha Centauri	platforms	Classic Mac OS
Sid Meier's Alpha Centauri	platforms	Linux
Puzzle Bobble	platforms	Arcade game
Puzzle Bobble	platforms	Neo Geo
Puzzle Bobble	platforms	3DO Interactive Multiplayer
Puzzle Bobble	platforms	Neo Geo CD
Puzzle Bobble	platforms	Game Gear
Puzzle Bobble	platforms	Super Nintendo Entertainment System
Puzzle Bobble	platforms	WonderSwan
Bubble Bobble	platforms	Arcade, [[#Development
Castle of the Winds	platforms	Microsoft Windows
Civilization	platforms	DOS
Civilization	platforms	Windows
Civilization	platforms	Amiga
Civilization	platforms	Macintosh
Civilization	platforms	Atari ST
Civilization	platforms	Sega Saturn
Civilization	platforms	Super NES
Civilization	platforms	PlayStation
Civilization	platforms	N-Gage
Chrono Trigger	platforms	Super Nintendo Entertainment System
Chrono Trigger	platforms	PlayStation
Chrono Trigger	platforms	Nintendo DS
Chrono Trigger	platforms	Mobile phone
Chrono Trigger	platforms	IOS
Chrono Trigger	platforms	Android
Counter-Strike	platforms	Microsoft Windows
Counter-Strike	platforms	Xbox
Counter-Strike	platforms	OS X
Counter-Strike	platforms	Linux
Chrono Cross	platforms	PlayStation
Day of the Tentacle	platforms	MS-DOS
Day of the Tentacle	platforms	Classic Mac OS
Day of the Tentacle	platforms	Microsoft Windows
Day of the Tentacle	platforms	OS X
Day of the Tentacle	platforms	Linux
Day of the Tentacle	platforms	PlayStation 4
Day of the Tentacle	platforms	PlayStation Vita
Day of the Tentacle	platforms	IOS
Deus Ex	platforms	Microsoft Windows
Deus Ex	platforms	Classic Mac OS
Deus Ex	platforms	PlayStation 2
Doom	platforms	MS-DOS
Doom	platforms	32X
Doom	platforms	Atari Jaguar
Doom	platforms	Super Nintendo Entertainment System
Doom	platforms	PlayStation
Doom	platforms	3DO Interactive Multiplayer
Doom	platforms	Sega Saturn
Doom	platforms	Acorn Archimedes
Doom	platforms	Game Boy Advance
Doom	platforms	Xbox 360
Doom	platforms	IOS
Diablo II	platforms	Microsoft Windows
Diablo II	platforms	Classic Mac OS
Diablo II	platforms	MacOS
Duck Hunt	platforms	Nintendo Entertainment System
Duck Hunt	platforms	Arcade game
EverQuest	platforms	Microsoft Windows
EverQuest	platforms	OS X
F-Zero: Maximum Velocity	platforms	Game Boy Advance
Heretic	platforms	MS-DOS
Heretic	platforms	Classic Mac OS
Heretic II	platforms	AmigaOS
Heretic II	platforms	Linux
Heretic II	platforms	Classic Mac OS
Heretic II	platforms	Microsoft Windows
Heretic II	platforms	OS X
Hexen: Beyond Heretic	platforms	MS-DOS
Hexen: Beyond Heretic	platforms	Classic Mac OS
Hexen: Beyond Heretic	platforms	PlayStation
Hexen: Beyond Heretic	platforms	Sega Saturn
Hexen: Beyond Heretic	platforms	Nintendo 64
Hexen II	platforms	Microsoft Windows
Hexen II	platforms	Macintosh
Hunt the Wumpus	platforms	BASIC
Hunt the Wumpus	platforms	4A
Kid Icarus	platforms	Family Computer Disk System
Kid Icarus	platforms	Nintendo Entertainment System
Kid Icarus	platforms	Game Boy Advance
Kid Icarus	platforms	Nintendo 3DS
LambdaMOO	platforms	Cross-platform
Maniac Mansion	platforms	Commodore 64
Maniac Mansion	platforms	Apple II
Maniac Mansion	platforms	IBM PC
Maniac Mansion	platforms	Amiga
Maniac Mansion	platforms	Atari ST
Maniac Mansion	platforms	Nintendo Entertainment System
Nights into Dreams...	platforms	Sega Saturn
Nights into Dreams...	platforms	PlayStation 2
Nights into Dreams...	platforms	Microsoft Windows
Nights into Dreams...	platforms	PlayStation 3
Nights into Dreams...	platforms	Xbox 360
Neopets	platforms	Cross-platform, web game
Pong	platforms	Arcade game
Quake III Arena	platforms	Microsoft Windows
Quake III Arena	platforms	Linux
Quake III Arena	platforms	Classic Mac OS
Quake III Arena	platforms	Dreamcast
Quake III Arena	platforms	PlayStation 2
Quake III Arena	platforms	Xbox 360
Quake III Arena	platforms	IOS
Quake II	platforms	Microsoft Windows
Quake II	platforms	AmigaOS
Quake II	platforms	Classic Mac OS
Quake II	platforms	Nintendo 64
Quake II	platforms	PlayStation
Quake II	platforms	Linux
Quake II	platforms	Xbox 360
Quake II	platforms	Zeebo
Quake II	platforms	Dreamcast
Quake	platforms	MS-DOS
Quake	platforms	AmigaOS
Quake	platforms	Classic Mac OS
Quake	platforms	Sega Saturn
Quake	platforms	Nintendo 64
Quake	platforms	Linux
Quake	platforms	Microsoft Windows
Quake	platforms	Zeebo
Radical Dreamers	platforms	Super Famicom
Rise of the Triad	platforms	MS-DOS
Rise of the Triad	platforms	Microsoft Windows
Rise of the Triad	platforms	IOS
Red Faction	platforms	PlayStation 2
Red Faction	platforms	Microsoft Windows
Red Faction	platforms	Mac OS X
Red Faction	platforms	N-Gage
Return to Castle Wolfenstein	platforms	Microsoft Windows
Return to Castle Wolfenstein	platforms	Linux
Return to Castle Wolfenstein	platforms	Mac OS X
Return to Castle Wolfenstein	platforms	Xbox
Return to Castle Wolfenstein	platforms	PlayStation 2
StarCraft	platforms	Microsoft Windows
StarCraft	platforms	Classic Mac OS
StarCraft	platforms	Nintendo 64
Super Mario Kart	platforms	Super Nintendo Entertainment System
Simon the Sorcerer	platforms	Amiga
Simon the Sorcerer	platforms	Amiga CD32
Simon the Sorcerer	platforms	DOS
Simon the Sorcerer	platforms	RISC OS
SimCity	platforms	Acorn Archimedes, Acorn Electron, Amiga, Amiga CDTV, Amstrad CPC, Atari ST, BBC Micro, C64, DESQview, DOS, EPOC32, FM Towns, iOS , PC-98, GBA, OLPC XO-1, OS/2, Linux, Mac OS, Mobile phone , NeWS, Web browser, Super NES, Tk, Unix, Windows, X11 TCL, Sinclair ZX Spectrum, Wii
System Shock	platforms	MS-DOS
System Shock	platforms	Mac OS
System Shock	platforms	Microsoft Windows
System Shock	platforms	OS X
System Shock	platforms	Linux
The Sims	platforms	Microsoft Windows
The Sims	platforms	Mac OS
The Sims	platforms	PlayStation 2
The Sims	platforms	Xbox
The Sims	platforms	GameCube
Unreal	platforms	Microsoft Windows
Unreal	platforms	Mac OS
Virtua Fighter	platforms	Arcade game
Virtua Fighter	platforms	Sega Saturn
Virtua Fighter	platforms	Sega 32X
Virtua Fighter	platforms	Tiger R-Zone
Virtua Fighter	platforms	Microsoft Windows
Xenogears	platforms	PlayStation
Zork	platforms	PDP-10
Zork	platforms	Atari 8-bit family
Zork	platforms	Commodore 64
Zork	platforms	4
Zork	platforms	Commodore 128
Zork	platforms	M
Zork	platforms	TRS-80
Zork	platforms	IBM PC
Zork	platforms	Apple II family
Zork	platforms	Apple IIe
Zork	platforms	Amiga
Zork	platforms	Amstrad CPC
Zork	platforms	Amstrad PCW
Zork	platforms	Apple Macintosh
Zork	platforms	Atari ST
Zork	platforms	DOS
Zork	platforms	NEC PC-9801
Zork	platforms	MSX
Zork	platforms	PlayStation
Zork	platforms	Sega Saturn
Zork	platforms	4A
Zoop	platforms	Super Nintendo Entertainment System
Zoop	platforms	Sega Genesis
Zoop	platforms	Game Boy
Zoop	platforms	Sega Game Gear
Zoop	platforms	DOS
Zoop	platforms	Sega Saturn
Zoop	platforms	Atari Jaguar
Zoop	platforms	PlayStation
Mario Kart: Super Circuit	platforms	Game Boy Advance
Soldier of Fortune	platforms	Microsoft Windows
Soldier of Fortune	platforms	Linux
Soldier of Fortune	platforms	PlayStation 2
Soldier of Fortune	platforms	Dreamcast
Heavy Metal: F.A.K.K.²	platforms	Mac OS
Heavy Metal: F.A.K.K.²	platforms	Mac OS X
Heavy Metal: F.A.K.K.²	platforms	Linux
Heavy Metal: F.A.K.K.²	platforms	Microsoft Windows
Time Crisis	platforms	Arcade game
Time Crisis	platforms	PlayStation
MIDI Maze	platforms	Atari ST
MIDI Maze	platforms	Game Boy
MIDI Maze	platforms	Game Gear
MIDI Maze	platforms	Super Nintendo Entertainment System
Zero Wing	platforms	Arcade, Sega Mega Drive, PC Engine
Dr. Mario	platforms	Nintendo Entertainment System
Dr. Mario	platforms	Nintendo VS. System
Dr. Mario	platforms	PlayChoice-10
Dr. Mario	platforms	Game Boy
Dr. Mario	platforms	Game Boy Advance
Star Wars Jedi Knight II: Jedi Outcast	platforms	Microsoft Windows
Star Wars Jedi Knight II: Jedi Outcast	platforms	OS X
Star Wars Jedi Knight II: Jedi Outcast	platforms	GameCube
Star Wars Jedi Knight II: Jedi Outcast	platforms	Xbox
Tom Clancy's Rainbow Six	platforms	Microsoft Windows
Tom Clancy's Rainbow Six	platforms	Nintendo 64
Tom Clancy's Rainbow Six	platforms	PlayStation
Tom Clancy's Rainbow Six	platforms	Mac OS
Tom Clancy's Rainbow Six	platforms	Game Boy Color
Tom Clancy's Rainbow Six	platforms	Dreamcast
Tom Clancy's Rainbow Six	platforms	PlayStation Network
Spellevator	platforms	Microsoft Windows
Spellevator	platforms	Apple II
Spellevator	platforms	Apple Macintosh
Spellevator	platforms	DOS
Kuru Kuru Kururin	platforms	Game Boy Advance
Kuru Kuru Kururin	platforms	Virtual Console
Suspended	platforms	Amiga
Suspended	platforms	Amstrad CPC
Suspended	platforms	Apple II family
Suspended	platforms	Atari 8-bit family
Suspended	platforms	Atari ST
Suspended	platforms	Commodore 64
Suspended	platforms	4
Suspended	platforms	MS-DOS
Suspended	platforms	TRS-80
Suspended	platforms	4A
Suspended	platforms	Apple Macintosh
Radiant Silvergun	platforms	Arcade game
Radiant Silvergun	platforms	Sega Saturn
Radiant Silvergun	platforms	Xbox 360
Final Fantasy Tactics	platforms	PlayStation
Final Fantasy Chronicles	platforms	PlayStation
Final Fantasy IX	platforms	PlayStation
Final Fantasy IX	platforms	IOS
Final Fantasy IX	platforms	Android
Final Fantasy IX	platforms	Microsoft Windows
Final Fantasy VII	platforms	PlayStation
Final Fantasy VII	platforms	Microsoft Windows
Final Fantasy VII	platforms	IOS
Final Fantasy VII	platforms	PlayStation 4
Final Fantasy VII	platforms	Android
Final Fantasy VIII	platforms	PlayStation
Final Fantasy VIII	platforms	Microsoft Windows
Final Fantasy X	platforms	PlayStation 2
The Final Fantasy Legend	platforms	Game Boy, WonderSwan Color, mobile phones, Android
Final Fantasy Adventure	platforms	Game Boy
Final Fantasy Adventure	platforms	SoftBank Mobile
Final Fantasy Adventure	platforms	I-mode
Final Fantasy Adventure	platforms	Au
Final Fantasy Adventure	platforms	PlayStation Vita
Final Fantasy Adventure	platforms	IOS
Final Fantasy Adventure	platforms	Android
Final Fantasy Mystic Quest	platforms	Super Nintendo Entertainment System
Final Fantasy Mystic Quest	platforms	Virtual Console
Half-Life	platforms	Microsoft Windows
Half-Life	platforms	PlayStation 2
Half-Life	platforms	OS X
Half-Life	platforms	Linux
Ancient Domains of Mystery	platforms	AmigaOS
Ancient Domains of Mystery	platforms	MS-DOS
Ancient Domains of Mystery	platforms	Linux
Ancient Domains of Mystery	platforms	Microsoft Windows
Ancient Domains of Mystery	platforms	OS X
SiN	platforms	Microsoft Windows
SiN	platforms	Linux
SiN	platforms	Classic Mac OS
Escape Velocity	platforms	Mac OS
Warcraft III: Reign of Chaos	platforms	Microsoft Windows
Warcraft III: Reign of Chaos	platforms	Classic Mac OS
Warcraft III: Reign of Chaos	platforms	Mac OS X
Warcraft: Orcs & Humans	platforms	MS-DOS
Warcraft: Orcs & Humans	platforms	Classic Mac OS
Zool	platforms	Arcade game
Zool	platforms	Acorn Archimedes
Zool	platforms	Amiga
Zool	platforms	Atari ST
Zool	platforms	Amiga CD32
Zool	platforms	DOS
Zool	platforms	Game Boy
Zool	platforms	Sega Game Gear
Zool	platforms	Sega Master System
Zool	platforms	Sega Genesis
Zool	platforms	Super Nintendo Entertainment System
Lemmings	platforms	Amiga, [[#Ports and remakes
Grand Prix Legends	platforms	PC
Hercules: The Legendary Journeys	platforms	Nintendo 64
Hercules: The Legendary Journeys	platforms	Game Boy Color
Mario Kart 64	platforms	Nintendo 64
Mario Kart 64	platforms	IQue Player
Pac-Man	platforms	Arcade, [[#Remakes and sequels
Space Invaders	platforms	Arcade game
Space Invaders	platforms	Space Invaders
London Waterloo station	platforms	24
Star Wars: X-Wing vs. TIE Fighter	platforms	Microsoft Windows
Star Wars: X-Wing Alliance	platforms	Microsoft Windows
Zak McKracken and the Alien Mindbenders	platforms	Commodore 64
Zak McKracken and the Alien Mindbenders	platforms	MS-DOS
Zak McKracken and the Alien Mindbenders	platforms	Amiga
Zak McKracken and the Alien Mindbenders	platforms	Atari ST
Zak McKracken and the Alien Mindbenders	platforms	FM Towns
Indiana Jones and the Last Crusade: The Graphic Adventure	platforms	DOS
Indiana Jones and the Last Crusade: The Graphic Adventure	platforms	Amiga
Indiana Jones and the Last Crusade: The Graphic Adventure	platforms	Atari ST
