Mighty Morphin Alien Rangers	seasonName	Mighty Morphin Alien Rangers
The Trial of a Time Lord	seasonName	The Trial of a Time Lord
La Academia	seasonName	La Academia: The First Generation
La Academia	seasonName	La Academia: The Second Generation
La Academia	seasonName	La Academia: The Third Generation
La Academia	seasonName	La Academia: The Fourth Generation
La Academia	seasonName	La Academia Five: The Light Generation
La Academia	seasonName	La Academia: The Last Generation
La Academia	seasonName	La Academia: The New Generation
La Academia	seasonName	La Academia: Bicentennial Generation
La Academia	seasonName	La Academia 3D: 2011 Generation
La Academia	seasonName	La Academia 10 Years: The Decade Generation
La Academia	seasonName	La Academia Kids Lala: The First Generation
La Academia	seasonName	La Academia Kids Lala: The Second Generation
Lost	seasonName	Lost
List of Sailor Moon Super S episodes	seasonName	Pretty Soldier Sailor Moon SuperS
Road Rules: South Pacific	seasonName	Road Rules: South Pacific
Doctor Who: The Key to Time	seasonName	Doctor Who: The Key to Time
Road Rules: X-Treme	seasonName	Road Rules: X-Treme
Lost	seasonName	Lost
List of Sailor Moon Sailor Stars episodes	seasonName	Pretty Soldier Sailor Moon Sailor Stars
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Law & Order	seasonName	Law & Order
Smallville	seasonName	Smallville
Smallville	seasonName	Smallville
Smallville	seasonName	Smallville
Smallville	seasonName	Smallville
Smallville	seasonName	Smallville
The Biggest Loser	seasonName	The Biggest Loser
List of Sailor Moon R episodes	seasonName	Pretty Guardian Sailor Moon R
Road Rules: Campus Crawl	seasonName	Road Rules: Campus Crawl
MythBusters	seasonName	MythBusters
MythBusters	seasonName	MythBusters
MythBusters	seasonName	MythBusters
List of MythBusters special episodes	seasonName	MythBusters
List of Power Rangers Wild Force episodes	seasonName	Power Rangers Wild Force
List of Power Rangers Lightspeed Rescue episodes	seasonName	Power Rangers Lightspeed Rescue
List of Power Rangers Ninja Storm episodes	seasonName	Power Rangers Ninja Storm
List of Power Rangers Time Force episodes	seasonName	Power Rangers Time Force
List of Power Rangers Lost Galaxy episodes	seasonName	Power Rangers Lost Galaxy
Homicide: Life on the Street	seasonName	Homicide: Life on the Street
Road Rules: Semester at Sea	seasonName	Road Rules: Semester at Sea
Grey's Anatomy	seasonName	Grey's Anatomy
Grey's Anatomy	seasonName	Grey's Anatomy
List of Power Rangers Mystic Force episodes	seasonName	Power Rangers Mystic Force
Mad TV	seasonName	Mad TV
