Ani DiFranco	instrument	Guitar, bass guitar, tenor guitar, vocals, percussion, piano
Alexis Korner	instrument	Vocals, acoustic & electric guitar, Dobro, tiple, piano
Arlo Guthrie	instrument	Guitar
Arlo Guthrie	instrument	Piano
Arlo Guthrie	instrument	Celesta
Arlo Guthrie	instrument	Cowbell
Arlo Guthrie	instrument	Autoharp
Arlo Guthrie	instrument	Banjo
Arlo Guthrie	instrument	Harmonica
Arlo Guthrie	instrument	Harp
Arlo Guthrie	instrument	Saxophone
Arlo Guthrie	instrument	Flute
Arlo Guthrie	instrument	Clarinet
Arlo Guthrie	instrument	Recorder
Arlo Guthrie	instrument	Cor anglais
Arlo Guthrie	instrument	Mandolin
Arlo Guthrie	instrument	Piccolo
Arlo Guthrie	instrument	Violin
Arlo Guthrie	instrument	Whistle
Arlo Guthrie	instrument	Tambourine
Bill Haley	instrument	Vocals, guitar, slap bass
Blind Willie McTell	instrument	Vocals, guitar, harmonica, accordion, kazoo, violin
Brownie McGhee	instrument	Guitar
Brownie McGhee	instrument	Piano
Brownie McGhee	instrument	Kazoo
Brownie McGhee	instrument	Singing
Cem Karaca	instrument	Vocals, guitar
Charles Mingus	instrument	Double bass, piano, cello
Chet Atkins	instrument	Guitar, violin, vocals, banjo, ukulele
Dave Brubeck	instrument	Piano
Gheorghe Zamfir	instrument	Pan flute
Goran Bregović	instrument	Guitar
Goran Bregović	instrument	Singing
Goran Bregović	instrument	Bass guitar
George Harrison	instrument	*
George Harrison	instrument	Singing
George Harrison	instrument	Guitar
George Harrison	instrument	Sitar
Gilles Apap	instrument	Violin
Henry Rollins	instrument	Vocals
Jello Biafra	instrument	Singing
Jeff Mills	instrument	Turntables, Synthesizers
Janis Joplin	instrument	Singing
Janis Joplin	instrument	Guitar
Juliana Hatfield	instrument	Vocals, guitar, bass, drums, piano, organ, keyboards, mellotron, percussion, harmonica
Julian Lennon	instrument	Singing
Julian Lennon	instrument	Guitar
Julian Lennon	instrument	Bass guitar
Julian Lennon	instrument	Piano
Julian Lennon	instrument	Drum kit
Julian Lennon	instrument	Harmonica
Julian Lennon	instrument	Banjo
Joni Mitchell	instrument	*Vocals\n*guitar\n*piano\n*
Joni Mitchell	instrument	Appalachian dulcimer
Jeff Lynne	instrument	Singing
Jeff Lynne	instrument	Guitar
Jeff Lynne	instrument	Bass guitar
Jeff Lynne	instrument	Keyboard instrument
Jeff Lynne	instrument	Cello
Jeff Lynne	instrument	Banjo
Jeff Lynne	instrument	Ukulele
Jeff Lynne	instrument	Percussion instrument
Kool Keith	instrument	Rapping
Kool Keith	instrument	Keyboard instrument
Kool Keith	instrument	Bass guitar
Lead Belly	instrument	*
Lead Belly	instrument	Vocals
Lead Belly	instrument	Guitar
Lead Belly	instrument	Accordion
Lead Belly	instrument	Piano
Lead Belly	instrument	Lap steel guitar
Lydia Kavina	instrument	Theremin
Moby	instrument	Phonograph
Moby	instrument	Keyboards
Moby	instrument	Synthesizer
Moby	instrument	Drum machine
Moby	instrument	vocals
Moby	instrument	Guitar
Moby	instrument	Bass guitar
Moby	instrument	Drums
Mike Oldfield	instrument	Guitar, bass, banjo, piano, percussion, keyboards, synthesizer, mandolin, vocals, harp, tympani, vibraphone, drums, tubular bells
Mississippi John Hurt	instrument	Guitar
Mississippi John Hurt	instrument	Singing
Miles Davis	instrument	* Trumpet\n*
Miles Davis	instrument	Flugelhorn
Miles Davis	instrument	* piano\n*
Miles Davis	instrument	Synthesizer
Miles Davis	instrument	*
Miles Davis	instrument	Organ
Michael Nesmith	instrument	*
Michael Nesmith	instrument	Guitar
Michael Nesmith	instrument	Vocals
Meat Loaf	instrument	Singing
Neil Peart	instrument	Drum kit
Neil Peart	instrument	Percussion
Oscar Peterson	instrument	Piano, clavichord, electric piano, synthesizer, organ, vocals
Patti Smith	instrument	*
Patti Smith	instrument	Singing
Patti Smith	instrument	Guitar
Patti Smith	instrument	Clarinet
Paul Desmond	instrument	Alto saxophone
Paul Desmond	instrument	Clarinet
Paul Wertico	instrument	Drum kit
Paul Wertico	instrument	Percussion
Paolo Fresu	instrument	Trumpet, flugelhorn
