Audi	production	2024881
BMW	production	2430507
Bentley	production	9107
Bentley	production	7593
Ferrari	production	7664
Ford GT40	production	1964
Ford GT40	production	107
General Motors	production	9958000
Lamborghini	production	3245
Mazda MX-5	production	1989
Mazda MX-5	production	January 1998–2005
Mazda MX-5	production	May 2005–2015
Mazda MX-5	production	--03-04
Nintendo	production	Hardware:
Nintendo	production	16300000
Nintendo	production	Software:
Nintendo	production	123200000
Nissan	production	5097772
Opel	production	1057000
Porsche 928	production	1977
Porsche 924	production	1976
Porsche 912	production	1965
Porsche 912	production	1976
Porsche 968	production	1992
Porsche 944	production	1982
Porsche 356	production	1948
Porsche 356	production	1955
Porsche 356	production	1960
Porsche 356	production	1964
Škoda Auto	production	1055500
Subaru Forester	production	1997
Subaru Forester	production	2002
Subaru Forester	production	2008
Subaru Forester	production	2012
Toyota	production	16985870
Trabant	production	1957
Trabant	production	1990
Trabant	production	3700000
Tatra 600	production	1946
Tatra 600	production	6342
Volkswagen	production	10.17
Volkswagen Group	production	10.02
Nissan Z-car	production	1969
Nissan Z-car	production	2002
Alfa Romeo	production	56688
Hyundai Motor Company	production	4962000000
Fiat S.p.A.	production	4200000
Citroën	production	1266000
Steinway & Sons	production	3400
AMC Gremlin	production	1970
Peugeot	production	1739000
Tucker 48	production	1947
Lotus Seven	production	1957
Lotus Seven	production	1961
Lotus Seven	production	1968
Lotus Seven	production	1970
Sinclair C5	production	1985
Maserati	production	36448
Maserati	production	15393
Cadillac	production	170750
Mini	production	1959
Mini	production	Plant Oxford
Mini	production	Oxford
Mini	production	Longbridge plant
Mini	production	Birmingham
Mini	production	1967
Mini	production	1969
Mini	production	October 1969 - 1976
Mini	production	1976
Mini	production	1984
Mini	production	1990
Mini	production	1996
Volkswagen Beetle	production	1938
Lada Niva	production	1977
GAZ Chaika	production	1959
GAZ Chaika	production	1977
FSO Syrena	production	1957
FSO Syrena	production	521311
Lada Samara	production	1984
Lada Samara	production	1997
BMW 328	production	1936
BMW 328	production	464
Volkswagen Kübelwagen	production	50435
Citroën 2CV	production	1948
Ford Mustang	production	March 1964–present
Citroën SM	production	1970
Green Goddess	production	1953
Ford Pinto	production	September 1970–1980
Citroën ZX	production	1991
Porsche Cayenne	production	2002
Porsche Cayenne	production	2010
Pontiac Vibe	production	January 2002&ndash;August 2009
Pontiac Vibe	production	2008
Volkswagen Schwimmwagen	production	14265
Ford Model T	production	1908
Ford Taurus	production	1985
John Smith's Brewery	production	3800000
Renault	production	2761969
Royal National Theatre	production	War Horse, One Man, Two Guvnors
Ford Anglia	production	1939
Ford Anglia	production	55807
Ford Anglia	production	1946
Ford Anglia	production	1949
Ford Anglia	production	108878
Ford Anglia	production	1953
