AK-47	wars	*Hungarian Revolution of 1956\n*Vietnam War\n*See other conflicts and wars
AGM-88 HARM	wars	Gulf War
AGM-88 HARM	wars	Kosovo War
AGM-88 HARM	wars	Iraq War
AGM-88 HARM	wars	2011 military intervention in Libya
AGM-65 Maverick	wars	Vietnam War
AGM-65 Maverick	wars	Yom Kippur War
AGM-65 Maverick	wars	Iran–Iraq War
AGM-65 Maverick	wars	Gulf War
AGM-65 Maverick	wars	Iraq War
AGM-65 Maverick	wars	Libyan Civil War
Gatling gun	wars	American Civil War
Gatling gun	wars	Anglo-Zulu War
Gatling gun	wars	Indian Wars
Gatling gun	wars	Boshin War
Gatling gun	wars	Donghak Peasant Revolution
Gatling gun	wars	Northwest Rebellion
Gatling gun	wars	War of the Pacific
Gatling gun	wars	Spanish–American War
Gatling gun	wars	Philippine–American War
Gatling gun	wars	Boxer Rebellion
Gatling gun	wars	Russo-Japanese War
Gatling gun	wars	1895
Katyusha rocket launcher	wars	World War II
Katyusha rocket launcher	wars	Korean War
Katyusha rocket launcher	wars	Vietnam War
Katyusha rocket launcher	wars	Yom Kippur War
Katyusha rocket launcher	wars	Iran–Iraq war
Katyusha rocket launcher	wars	2006
Katyusha rocket launcher	wars	2011
Katyusha rocket launcher	wars	Syrian Civil War
Katyusha rocket launcher	wars	Northern Iraq offensive
M16 rifle	wars	*Vietnam War\n*Gulf War\n*War in Afghanistan\n*Iraq War\n*See other conflicts and wars
V-1 flying bomb	wars	World War II
M18 Claymore mine	wars	Vietnam War
M18 Claymore mine	wars	Cambodian Civil War
M18 Claymore mine	wars	Iraq War
M18 Claymore mine	wars	Gulf War
M18 Claymore mine	wars	Bosnian War
M18 Claymore mine	wars	Rhodesian Bush War
M18 Claymore mine	wars	War in Afghanistan
M198 howitzer	wars	Gulf War
M102 howitzer	wars	Vietnam War
M102 howitzer	wars	Invasion of Grenada
M102 howitzer	wars	Gulf War
M102 howitzer	wars	Iraq War
M110 howitzer	wars	Vietnam War
M110 howitzer	wars	Iran–Iraq War
M110 howitzer	wars	1982
M110 howitzer	wars	Gulf War
M109 howitzer	wars	Vietnam War
M109 howitzer	wars	Yom Kippur War
M109 howitzer	wars	Iran–Iraq War
M109 howitzer	wars	Western Sahara War
M109 howitzer	wars	Persian Gulf War
M109 howitzer	wars	Iraq War
M109 howitzer	wars	Saudi Arabian-led intervention in Yemen
Heavy Equipment Transport System	wars	World War II
FIM-92 Stinger	wars	Falklands War
FIM-92 Stinger	wars	Soviet–Afghan War
FIM-92 Stinger	wars	Angolan Civil War
FIM-92 Stinger	wars	Kargil War
FIM-92 Stinger	wars	Yugoslav Wars
FIM-92 Stinger	wars	Invasion of Grenada
FIM-92 Stinger	wars	Syrian Civil War
M551 Sheridan	wars	Vietnam War
M551 Sheridan	wars	United States invasion of Panama
M551 Sheridan	wars	Operation Desert Shield
M551 Sheridan	wars	Gulf War
M61 Vulcan	wars	Vietnam War
M61 Vulcan	wars	Gulf War
M61 Vulcan	wars	War in Afghanistan
M61 Vulcan	wars	Iraq War
Gladius	wars	Roman Republic and Roman Empire
M4 Sherman	wars	World War II
M4 Sherman	wars	Chinese Civil War
M4 Sherman	wars	Indonesian National Revolution
M4 Sherman	wars	Greek Civil War
M4 Sherman	wars	1948 Arab–Israeli War
M4 Sherman	wars	Korean War
M4 Sherman	wars	Revolución Libertadora
M4 Sherman	wars	Suez Crisis
M4 Sherman	wars	Indo-Pakistani War of 1965
M4 Sherman	wars	Six-Day War
M4 Sherman	wars	Indo-Pakistani War of 1971
M4 Sherman	wars	Yom Kippur War
M4 Sherman	wars	Iran–Iraq War
M4 Sherman	wars	1958 Lebanon crisis
M4 Sherman	wars	Lebanese Civil War
M4 Sherman	wars	Cuban Revolution
M4 Sherman	wars	Nicaraguan Revolution
IMI Galil	wars	1982 Lebanon War
IMI Galil	wars	War in Somalia
IMI Galil	wars	South African Border War
IMI Galil	wars	War in Afghanistan
IMI Galil	wars	Iraq War
IMI Galil	wars	Insurgency in the Philippines
IMI Galil	wars	Guatemalan Civil War
IMI Galil	wars	Colombian Armed Conflict
IMI Galil	wars	2013
Sabre	wars	Napoleonic Wars
Sabre	wars	American Revolution
Sabre	wars	American Civil War
Sabre	wars	Franco-Prussian War
Sabre	wars	World War I
Sabre	wars	Polish-Soviet War
Uzi	wars	Suez Crisis
Uzi	wars	Six-Day War
Uzi	wars	Vietnam War
Uzi	wars	War of Attrition
Uzi	wars	Yom Kippur War
Uzi	wars	Colombian armed conflict
Uzi	wars	Sri Lankan Civil War
Uzi	wars	Portuguese Colonial War
Uzi	wars	Falklands War
Uzi	wars	Invasion of Grenada
Uzi	wars	1982
Uzi	wars	South African Border War
Uzi	wars	Rhodesian Bush War
Uzi	wars	Somali Civil War
Uzi	wars	Mexican Drug War
Uzi	wars	Syrian Civil War
Uzi	wars	Griselda Blanco
Rapier	wars	Falklands War
Rapier	wars	Iran–Iraq War
Rapier	wars	Gulf War
Phalanx CIWS	wars	Gulf War
Mosin–Nagant	wars	Philippine Revolution
Mosin–Nagant	wars	First Italo-Ethiopian War
Mosin–Nagant	wars	Boxer Rebellion
Mosin–Nagant	wars	Russo-Japanese War
Mosin–Nagant	wars	World War I
Mosin–Nagant	wars	Finnish Civil War
Mosin–Nagant	wars	Russian Revolution
Mosin–Nagant	wars	Russian Civil War
Mosin–Nagant	wars	Polish–Soviet War
Mosin–Nagant	wars	Turkish War of Independence
Mosin–Nagant	wars	Chinese Civil War
Mosin–Nagant	wars	Spanish Civil War
Mosin–Nagant	wars	Second Sino-Japanese War
Mosin–Nagant	wars	Soviet–Japanese border conflicts
Mosin–Nagant	wars	Winter War
Mosin–Nagant	wars	World War II
Mosin–Nagant	wars	First Indochina War
Mosin–Nagant	wars	Korean War
Mosin–Nagant	wars	North Yemen Civil War
Mosin–Nagant	wars	Sino-Indian War
Mosin–Nagant	wars	Laotian Civil War
Mosin–Nagant	wars	Vietnam War
Mosin–Nagant	wars	Cambodian Civil War
Mosin–Nagant	wars	Cambodian–Vietnamese War
Mosin–Nagant	wars	Thai–Laotian Border War
Mosin–Nagant	wars	War in Afghanistan
Mosin–Nagant	wars	Soviet war in Afghanistan
Mosin–Nagant	wars	Yugoslav Wars
Mosin–Nagant	wars	First and Second Chechen Wars
Mosin–Nagant	wars	War in Afghanistan
Mosin–Nagant	wars	Iraq War
Mosin–Nagant	wars	Russo-Georgian War
Mosin–Nagant	wars	Syrian Civil War
Mosin–Nagant	wars	2014
Mosin–Nagant	wars	War in Donbass
Mosin–Nagant	wars	Annexation of Crimea by the Russian Federation
AK-74	wars	*Soviet–Afghan War\n*See other conflicts and wars
Luger pistol	wars	World War I
Luger pistol	wars	German Revolution of 1918–19
Luger pistol	wars	Spanish Civil War
Luger pistol	wars	World War II
Luger pistol	wars	Second Sino-Japanese War
Luger pistol	wars	Indonesian National Revolution
Luger pistol	wars	Chinese Civil War
Luger pistol	wars	Rhodesian Bush War
Thompson submachine gun	wars	Banana Wars
Thompson submachine gun	wars	Irish Civil War
Thompson submachine gun	wars	World War II
Thompson submachine gun	wars	Indonesian National Revolution
Thompson submachine gun	wars	Chinese Civil War
Thompson submachine gun	wars	First Indochina War
Thompson submachine gun	wars	Greek Civil War
Thompson submachine gun	wars	Korean War
Thompson submachine gun	wars	Vietnam War
Thompson submachine gun	wars	The Troubles
Thompson submachine gun	wars	Bosnian War
Thompson submachine gun	wars	and numerous others
Browning Hi-Power	wars	World War II
Browning Hi-Power	wars	Korean War
Browning Hi-Power	wars	Vietnam War
Browning Hi-Power	wars	Rhodesian Bush War
Browning Hi-Power	wars	Falklands War
Browning Hi-Power	wars	The Troubles
Browning Hi-Power	wars	War on Terror
C-4	wars	Vietnam War
C-4	wars	War on Terror
Lee–Enfield	wars	Second Boer War
Lee–Enfield	wars	World War I
Lee–Enfield	wars	British Empire
Lee–Enfield	wars	Irish War of Independence
Lee–Enfield	wars	Irish Civil War
Lee–Enfield	wars	World War II
Lee–Enfield	wars	Indonesian National Revolution
Lee–Enfield	wars	Indo-Pakistani wars and conflicts
Lee–Enfield	wars	Greek Civil War
Lee–Enfield	wars	Malayan Emergency
Lee–Enfield	wars	First Indochina War
Lee–Enfield	wars	Korean War
Lee–Enfield	wars	1948 Arab–Israeli War
Lee–Enfield	wars	Suez Crisis
Lee–Enfield	wars	Border Campaign
Lee–Enfield	wars	Mau Mau Uprising
Lee–Enfield	wars	Vietnam War
Lee–Enfield	wars	The Troubles
Lee–Enfield	wars	Sino-Indian War
Lee–Enfield	wars	Bangladesh Liberation War
Lee–Enfield	wars	Soviet invasion of Afghanistan
Lee–Enfield	wars	Nepalese Civil War
Lee–Enfield	wars	War in Afghanistan
MGM-140 ATACMS	wars	Gulf War
MGM-140 ATACMS	wars	Iraq War
MGM-140 ATACMS	wars	War in Afghanistan
M1 Garand	wars	World War II
M1 Garand	wars	Indonesian National Revolution
M1 Garand	wars	Korean War
M1 Garand	wars	1948
M1 Garand	wars	Hukbalahap Rebellion
M1 Garand	wars	First Indochina War
M1 Garand	wars	Suez Crisis
M1 Garand	wars	1958
M1 Garand	wars	Cuban Revolution
M1 Garand	wars	Sandinista Revolution
M1 Garand	wars	Vietnam War
M1 Garand	wars	Cambodian Civil War
M1 Garand	wars	Angolan Civil War
M1 Garand	wars	Iran–Iraq War
M1 Garand	wars	Gulf War
M1 Garand	wars	The Troubles
M1 Garand	wars	Syrian Civil War
M1 Garand	wars	Numerous other conflicts
Merkava	wars	1982
Challenger 2	wars	Iraq War
M1 carbine	wars	World War II
M1 carbine	wars	Hukbalahap Rebellion
M1 carbine	wars	Malayan Emergency
M1 carbine	wars	Suez Crisis
M1 carbine	wars	Korean War
M1 carbine	wars	Cuban Revolution
M1 carbine	wars	First Indochina War
M1 carbine	wars	Vietnam War
M1 carbine	wars	The Troubles
M1 carbine	wars	Cambodian Civil War
M1 carbine	wars	Angolan Civil War
M1 carbine	wars	Mexican Drug War
M1911 pistol	wars	As standard U.S. service pistol:\nWorld War I
M1911 pistol	wars	World War II
M1911 pistol	wars	Korean War
M1911 pistol	wars	Vietnam War
M1911 pistol	wars	In non-standard use:
M1911 pistol	wars	Indonesian National Revolution
M1911 pistol	wars	Gulf War
M1911 pistol	wars	War in Afghanistan
M1911 pistol	wars	Iraq War
M1911 pistol	wars	Syrian Civil War
R-7 Semyorka	wars	Cold War
Charleville musket	wars	Indian wars, Austrian War of Succession, Karnatic Wars, Seven Years' War, American Revolutionary war, French Revolutionary Wars, Napoleonic Wars, War of 1812
Brown Bess	wars	Indian Wars
Brown Bess	wars	Maroon
Brown Bess	wars	Dummer's War
Brown Bess	wars	War of the Austrian Succession
Brown Bess	wars	Jacobite rising of 1745
Brown Bess	wars	Carnatic Wars
Brown Bess	wars	Seven Years' War
Brown Bess	wars	Anglo-Mysore Wars
Brown Bess	wars	Anglo-Maratha Wars
Brown Bess	wars	American Revolutionary War
Brown Bess	wars	Xhosa Wars
Brown Bess	wars	Australian Frontier Wars
Brown Bess	wars	Haitian Revolution
Brown Bess	wars	French Revolutionary Wars
Brown Bess	wars	Kandyan Wars
Brown Bess	wars	Irish Rebellion of 1798
Brown Bess	wars	Napoleonic Wars
Brown Bess	wars	Temne War
Brown Bess	wars	Robert Emmet
Brown Bess	wars	British Expedition to Ceylon
Brown Bess	wars	Ashanti-Fante War
Brown Bess	wars	Musket Wars
Brown Bess	wars	Ga-Fante War
Brown Bess	wars	War of 1812
Brown Bess	wars	Greek War of Independence
Brown Bess	wars	Anglo-Ashanti Wars
Brown Bess	wars	Anglo-Burmese Wars
Brown Bess	wars	Baptist war
Brown Bess	wars	Texas Revolution
Brown Bess	wars	Rebellions of 1837
Brown Bess	wars	Mexican-American War
Brown Bess	wars	Indian Rebellion of 1857
Brown Bess	wars	Paraguayan War
Brown Bess	wars	Anglo-Zulu War
Leopard 1	wars	*
Leopard 1	wars	Bosnian War
Leopard 1	wars	Turkey–PKK conflict
Leopard 1	wars	War in Afghanistan
T-34	wars	World War II, and many others
Tiger II	wars	World War II
IS tank family	wars	*
IS tank family	wars	World War II
IS tank family	wars	Hungarian Revolution of 1956
IS tank family	wars	Six Day War
IS tank family	wars	Warsaw Pact invasion of Czechoslovakia
IS tank family	wars	War in Donbass
Kliment Voroshilov tank	wars	Winter War
Kliment Voroshilov tank	wars	World War II
T-64	wars	* War of Transnistria\n* War in Donbass
Chassepot	wars	French colonial empire
Chassepot	wars	Franco-Prussian War
Chassepot	wars	other conflicts
T-80	wars	First Chechen War
T-80	wars	Second Chechen War
T-80	wars	2008 South Ossetia War
T-80	wars	War in Donbass
T-26	wars	*
T-26	wars	Spanish Civil War
T-26	wars	Second Sino-Japanese War
T-26	wars	Soviet–Japanese border conflicts
T-26	wars	World War II
T-26	wars	Chinese Civil War
T-35	wars	World War II
T-28	wars	Soviet invasion of Poland
T-28	wars	Winter War
T-28	wars	World War II
Lion of Babylon	wars	Persian Gulf War
Lion of Babylon	wars	Iraq War
BT-7	wars	Soviet–Japanese Border Wars
BT-7	wars	World War II
BT-7	wars	Winter War
BT tank	wars	Spanish Civil War
BT tank	wars	Second Sino–Japanese War
BT tank	wars	Soviet–Japanese border conflicts
BT tank	wars	Winter War
BT tank	wars	World War II
Panzer I	wars	Spanish Civil War
Panzer I	wars	World War II
Panzer I	wars	Second Sino-Japanese War
GBU-15	wars	Desert Storm
BMP-3	wars	First Chechen War
BMP-3	wars	Yemeni Civil War
Combat Vehicle 90	wars	War in Afghanistan
Combat Vehicle 90	wars	United Nations Mission in Liberia
Matilda II	wars	World War II
Skoda 75 mm Model 15	wars	World War I
Skoda 75 mm Model 15	wars	World War II
Canon de 76 FRC	wars	World War II
Skoda 75 mm Model 1928	wars	World War II
Skoda 75 mm Model 1939	wars	World War II
Skoda 100 mm Model 1916	wars	World War I
Skoda 100 mm Model 1916	wars	World War II
19	wars	World War II
Skoda 105 mm Model 1939	wars	World War II
Skoda 150 mm Model 1918	wars	World War II
Canon d'Infanterie de 37 modèle 1916 TRP	wars	World War I
Canon d'Infanterie de 37 modèle 1916 TRP	wars	World War II
Canon de 65 M	wars	World War I
Canon de 65 M	wars	World War II
Canon de 65 M	wars	Polish–Soviet War
Canon de 65 M	wars	Greco-Turkish War
Canon de 65 M	wars	1948 Arab-Israeli War
Canon de 75 M	wars	Chaco War
Canon de 75 M	wars	World War II
Canon de 75 M	wars	World War II
76 mm mountain gun M1909	wars	World War I
76 mm mountain gun M1909	wars	World War II
Canon Court de 105 M	wars	World War II
7.5 cm leichtes Infanteriegeschütz 18	wars	Second World War
Panzer II	wars	World War II
BMP-1	wars	See Service history and Combat history
PIAT	wars	Second World War
PIAT	wars	1948
PIAT	wars	Korean War
PIAT	wars	Indo-Pakistani War of 1971
MP 40	wars	World War IICold WarKorean WarVietnam WarSyrian Civil War
MG 34	wars	Spanish Civil War
MG 34	wars	Second Sino-Japanese War
MG 34	wars	World War II
MG 34	wars	Chinese Civil War
MG 34	wars	1948
MG 34	wars	Korean War
MG 34	wars	Portuguese Colonial Wars
MG 34	wars	Algerian War
