Mâconnais	wineProduced	Mâcon, Mâcon-Villages, Pouilly-Fuissé, Pouilly-Vinzelles, Pouilly-Loché, Saint-Véran, Viré-Clessé
Columbia Valley AVA	wineProduced	Varietal, dessert wine, Meritage, and sparkling wine
Wahluke Slope AVA	wineProduced	Varietal
Wahluke Slope AVA	wineProduced	Dessert wine
Wahluke Slope AVA	wineProduced	Sparkling wine
Wahluke Slope AVA	wineProduced	Meritage
Horse Heaven Hills AVA	wineProduced	Varietal
Horse Heaven Hills AVA	wineProduced	Dessert wine
Horse Heaven Hills AVA	wineProduced	Meritage
Horse Heaven Hills AVA	wineProduced	Sparkling wine
Rattlesnake Hills AVA	wineProduced	Varietal
Rattlesnake Hills AVA	wineProduced	Dessert wine
Rattlesnake Hills AVA	wineProduced	Meritage
Yakima Valley AVA	wineProduced	Varietal
Yakima Valley AVA	wineProduced	Dessert wine
Yakima Valley AVA	wineProduced	Sparkling wine
Yakima Valley AVA	wineProduced	Meritage
Walla Walla Valley AVA	wineProduced	Varietal
Walla Walla Valley AVA	wineProduced	Dessert wine
Walla Walla Valley AVA	wineProduced	Sparkling wine
Walla Walla Valley AVA	wineProduced	Meritage
Puget Sound AVA	wineProduced	Varietal
Puget Sound AVA	wineProduced	Sparkling wine
Puget Sound AVA	wineProduced	Dessert wine
Costières de Nîmes AOC	wineProduced	Red, white, rosé
Catalunya	wineProduced	346557.0
Tasmanian wine	wineProduced	Still, dessert wine, sparkling wine
Loire Valley	wineProduced	Still, sparkling wine, dessert wine, rosé
Nistreana	wineProduced	Rosu de Purcari
Nistreana	wineProduced	Negru de Purcari
Açores VR	wineProduced	13754.0
Eagle Peak Mendocino County AVA	wineProduced	Pinot noir
